Subject,Object,Relationship
reach,conclusion,dobj
reach,commission,nsubj
reach,River,dobj
reach,I,nsubj
reach,Barnsley,nsubj
reached,-,dobj
reached,BUSAN,nsubj
reached,CNA,nsubj
reached,FTX,nsubj
reached,million,dobj
reached,lowest,dobj
reached,junta,dobj
reached,it,nsubj
reached,increase,dobj
reached,finals,dobj
reached,deal,dobj
reached,compromise,dobj
reached,company,nsubj
reached,business,nsubj
reached,billion,dobj
reached,anniversary,dobj
reached,University,nsubj
reached,Japan,nsubj
reached,Israel,nsubj
reads,those,dobj
ready,gigawatt,nsubj
reaffirm,We,nsubj
recalled,mother,dobj
recalls,he,nsubj
recalls,Ho,nsubj
recalls,Gensaw,nsubj
recalls,Aston,nsubj
recalling,products,dobj
recalled,she,nsubj
recalled,officer,nsubj
recalled,incident,dobj
recalled,Goy,dobj
recalled,he,nsubj
recalled,emirate,nsubj
recalled,countries,nsubj
recalled,ambassadors,dobj
recalled,ambassador,dobj
recalled,Weed,nsubj
recalled,Vásquez,nsubj
recalls,incident,dobj
recalls,quality,dobj
receive,Award,dobj
receive,Canel,dobj
receive,drivers,nsubj
receive,diagnosis,dobj
receive,course,dobj
receive,contract,dobj
receive,bookings,dobj
receive,bonus,dobj
receive,award,dobj
receive,attention,dobj
receive,aid,dobj
receive,UNPOS,nsubj
receive,Thunderbird,nsubj
receive,Satu,nsubj
receive,Manufacturers,nsubj
receive,LNG,dobj
receive,Chinese,nsubj
recalled,Lim,nsubj
recall,significance,dobj
reaffirm,connections,dobj
realise,potential,dobj
realised,she,nsubj
realised,he,nsubj
realised,Poddar,nsubj
realised,Ng,nsubj
realised,I,nsubj
realise,you,nsubj
realise,regulators,nsubj
realise,I,nsubj
rebuffed,pressure,dobj
realigns,Agreement,nsubj
reaffirmed,relations,dobj
reaffirmed,ministers,nsubj
reaffirmed,he,nsubj
reaffirmed,friendship,dobj
reaffirmed,countries,dobj
reaffirmed,Lee,nsubj
realised,they,nsubj
realize,What,dobj
realize,he,nsubj
realized,he,nsubj
rebuffed,He,nsubj
rebounded,stock,nsubj
reawakened,winner,nsubj
reawakened,question,dobj
reawakened,fighting,nsubj
reawakened,conflict,dobj
reassure,them,dobj
reassure,followers,dobj
reassure,Christians,dobj
reassess,injury,dobj
reasoned,she,nsubj
reasoned,he,nsubj
realizes,she,nsubj
realized,we,nsubj
realized,she,nsubj
recommended,cabling,dobj
recommended,firm,dobj
remained,violence,nsubj
reinforcing,security,dobj
reiterated,we,nsubj
reiterated,stance,dobj
reiterated,ministry,nsubj
reiterated,guidance,dobj
reiterated,approach,dobj
reiterated,Telenor,nsubj
reinstate,ties,dobj
reinforced,stereotypes,dobj
rejected,FIFA,nsubj
reinforce,trust,dobj
reinforce,dominance,dobj
regulating,guns,dobj
regulating,cryptocurrencies,dobj
regulating,apps,dobj
regulates,which,nsubj
regulates,that,nsubj
reject,application,dobj
rejected,League,dobj
register,that,dobj
rejected,speculation,dobj
relates,DETAILS,dobj
related,story,dobj
related,issues,nsubj
related,Trump,nsubj
relate,they,nsubj
relate,conclusions,nsubj
relapsed,they,nsubj
rejected,she,nsubj
rejected,advances,dobj
rejected,request,dobj
rejected,motion,dobj
rejected,he,nsubj
rejected,government,nsubj
rejected,forces,nsubj
rejected,deal,dobj
rejected,congress,nsubj
regulates,services,dobj
regulates,sector,dobj
regulates,profession,dobj
regroup,organisations,nsubj
regulate,payments,dobj
regulate,markets,dobj
regulate,landscape,dobj
regulate,cannabis,dobj
regulate,authority,nsubj
regulate,advertisements,dobj
regulate,activities,dobj
regretted,it,nsubj
regulates,matters,dobj
regretted,announcement,dobj
regrets,decision,dobj
regrets,actions,dobj
regrets,Jerebko,nsubj
regret,it,dobj
regret,choices,dobj
regret,I,nsubj
regulate,sector,dobj
regulate,use,dobj
regulate,way,dobj
regulated,MAS,nsubj
regulates,manufacture,dobj
regulates,government,nsubj
regulates,goods,dobj
regulates,fares,dobj
regulates,conduct,dobj
regulates,cigarettes,dobj
regulates,casinos,dobj
regulates,board,nsubj
regulates,act,nsubj
regulates,Unit,nsubj
regulates,SANCTIONS,nsubj
regulates,PTC,nsubj
regulates,Commission,nsubj
regulates,Authority,nsubj
regulated,providers,dobj
relates,agreement,nsubj
relates,part,nsubj
relaunch,relations,dobj
relocated,she,nsubj
remain,Froome,nsubj
remain,Briton,nsubj
rely,who,nsubj
rely,hatchlings,nsubj
relocating,themselves,nsubj
relocated,which,nsubj
relocated,stall,nsubj
relocated,houses,dobj
relishes,he,nsubj
relocated,family,nsubj
relocated,We,nsubj
relocated,She,nsubj
relocated,Beck,nsubj
relocate,operations,dobj
relocate,companies,nsubj
relisting,stock,dobj
remain,Grammys,nsubj
remain,He,nsubj
remain,Objects,nsubj
remain,Sanctions,nsubj
remained,rate,nsubj
remained,fighters,nsubj
remained,escorts,nsubj
remained,Philippot,nsubj
remained,China,nsubj
remain,who,nsubj
remain,which,nsubj
remain,push,nsubj
remain,nerves,nsubj
remain,name,nsubj
remain,levy,nsubj
remain,expenses,nsubj
remain,alliance,nsubj
remain,Shabab,nsubj
remain,Sears,nsubj
relishes,role,dobj
relieve,nausea,dobj
relayed,mother,nsubj
released,Bard,dobj
released,Watch,dobj
released,They,nsubj
released,Strategy,dobj
released,Schaffhausen,nsubj
released,MTI,nsubj
released,London,nsubj
released,Google,nsubj
release,tool,dobj
relies,Bratislava,nsubj
release,statement,dobj
release,noodles,dobj
release,me,nsubj
release,flood,dobj
release,emotions,dobj
release,album,dobj
relayed,news,dobj
released,administration,nsubj
released,chief,nsubj
released,family,nsubj
released,figures,dobj
relied,panel,nsubj
relied,military,nsubj
relied,Taliban,nsubj
relied,All,nsubj
releasing,who,nsubj
releasing,cause,dobj
releasing,amounts,dobj
releasing,album,dobj
releases,models,dobj
releases,company,nsubj
released,video,dobj
released,statement,dobj
released,pollen,dobj
released,it,nsubj
released,flowers,nsubj
registered,assist,dobj
register,foreigners,nsubj
recommended,friend,nsubj
recycling,Cycle,dobj
reduce,commission,dobj
reduce,burdens,dobj
reduce,agreement,nsubj
reduce,ability,dobj
redouble,efforts,dobj
rediscovered,joy,dobj
rediscovered,Wong,nsubj
recycle,sorts,dobj
reduce,costs,dobj
rectify,problems,dobj
recruited,that,nsubj
recruited,official,nsubj
recruited,Office,dobj
recruited,Fuentes,dobj
recruit,backer,nsubj
recreates,prototype,nsubj
reduce,competition,dobj
reduce,deal,nsubj
regenerate,pulp,dobj
reduce,sale,dobj
reduce,which,nsubj
reduce,waste,dobj
reduce,up,dobj
reduce,time,dobj
reduce,that,nsubj
reduce,temperature,dobj
reduce,tariffs,dobj
reduce,risks,dobj
reduce,deficit,dobj
reduce,risk,dobj
reduce,reliance,dobj
reduce,levels,dobj
reduce,it,nsubj
reduce,instances,dobj
reduce,emissions,dobj
reduce,dependence,dobj
recreates,environment,dobj
recovers,he,nsubj
recovering,bodies,dobj
reconciled,we,nsubj
reconvened,committee,nsubj
reconsider,ties,dobj
reconsider,change,dobj
reconsider,NAC,nsubj
reconfirmed,potential,dobj
reconfirmed,Mitsui,nsubj
reconciling,accounts,dobj
reconcile,account,dobj
recovering,authorities,nsubj
recommit,ourselves,dobj
recommends,actions,dobj
recommends,OIOS,nsubj
recommended,whom,dobj
recommended,that,nsubj
recommended,panel,nsubj
recommended,me,dobj
record,date,dobj
record,details,dobj
record,documents,nsubj
recorded,themselves,dobj
recovering,Long,nsubj
recovered,who,nsubj
recovered,troops,nsubj
recovered,seed,nsubj
recovered,patients,nsubj
recovered,body,dobj
recovered,Renner,nsubj
recover,he,nsubj
recover,body,dobj
recounted,retiree,nsubj
recounted,hundreds,nsubj
recounted,he,nsubj
recounted,Orlando,nsubj
records,letter,nsubj
recorded,who,nsubj
reduced,It,nsubj
reduced,barriers,dobj
reduced,roles,dobj
reflects,landscape,dobj
refund,money,dobj
refund,UNON,nsubj
refreshed,minutes,dobj
refocus,We,nsubj
reflects,visit,nsubj
reflects,trajectory,nsubj
reflects,stance,dobj
reflects,importance,dobj
refers,term,nsubj
reflects,growth,nsubj
reflecting,increase,dobj
reflecting,focus,dobj
reflected,she,nsubj
reflected,he,nsubj
reflected,Cheng,nsubj
refit,economies,dobj
refurbish,Centre,dobj
refurbish,SLG,nsubj
refurbish,View,dobj
refurbishes,It,nsubj
regarding,disinformation,dobj
regarding,change,dobj
regarding,applications,dobj
regarded,she,nsubj
regarded,it,nsubj
regarded,Kosovars,dobj
regained,ability,dobj
regain,power,dobj
refusing,Lufthansa,nsubj
refused,woman,nsubj
refused,boarding,dobj
refused,Tsimanouskaya,nsubj
refused,Tan,nsubj
refused,France,nsubj
refused,Ethiopia,nsubj
refining,art,dobj
refers,senescence,nsubj
reduced,we,nsubj
reducing,dependencies,dobj
reducing,risk,dobj
reducing,pollution,dobj
reducing,point,dobj
reducing,impression,dobj
reducing,flowrate,dobj
reducing,emissions,dobj
reducing,effect,dobj
reducing,dependence,dobj
refers,one,nsubj
reducing,Russia,nsubj
reduces,which,nsubj
reduces,wear,dobj
reduces,rate,dobj
reduces,drug,nsubj
reduces,distribution,nsubj
reduces,chances,dobj
reducing,riverbed,dobj
reducing,temperature,dobj
refer,who,nsubj
referenced,husband,dobj
refers,finance,nsubj
referring,official,nsubj
referring,market,dobj
referring,Erdogan,nsubj
referred,team,nsubj
referred,she,nsubj
referred,questions,dobj
referred,official,nsubj
referred,he,nsubj
referred,company,nsubj
referred,Manager,nsubj
referred,Forces,nsubj
references,period,dobj
references,it,nsubj
referenced,nominee,nsubj
re,he,nsubj
rattled,neighbourhoods,dobj
rattled,gunfire,nsubj
provide,platform,dobj
provide,solutions,dobj
provide,solution,dobj
provide,services,dobj
provide,rest,dobj
provide,reports,dobj
provide,protection,dobj
provide,proof,dobj
provide,personnel,dobj
provide,space,dobj
provide,passengers,dobj
provide,parties,nsubj
provide,option,dobj
provide,offer,dobj
provide,ministry,nsubj
provide,link,dobj
provide,jobs,dobj
provide,sources,nsubj
provide,support,dobj
provide,Globalpay,nsubj
provided,Antler,nsubj
provided,Official,nsubj
provided,Officer,nsubj
provided,Manager,nsubj
provided,Japan,nsubj
provided,Interviews,nsubj
provided,ITF,dobj
provided,DRA,nsubj
provided,-,dobj
provide,terms,dobj
provide,who,nsubj
provide,which,dobj
provide,view,dobj
provide,valuation,dobj
provide,time,dobj
provide,they,nsubj
provide,that,nsubj
provide,it,nsubj
provide,insights,dobj
provide,information,dobj
provide,UNMIK,nsubj
provide,care,dobj
provide,billion,dobj
provide,assistance,dobj
provide,applicant,nsubj
provide,agreement,nsubj
provide,accounts,dobj
provide,Vendor,nsubj
provide,SPD@Canberra,nsubj
provide,guarantors,dobj
provide,Payments,nsubj
provide,Official,nsubj
provide,Letter,dobj
provide,It,nsubj
provide,India,nsubj
provide,Iceland,dobj
provide,ICAA,nsubj
provide,comfort,dobj
provide,comment,dobj
provide,company,nsubj
provide,controls,dobj
provide,funding,dobj
provide,findings,nsubj
provide,financing,dobj
provide,families,dobj
provide,extension,nsubj
provide,explanations,dobj
provide,experiences,dobj
provide,evidence,dobj
provide,engines,dobj
provide,electricity,dobj
provide,education,dobj
provide,documentation,nsubj
provide,details,dobj
provide,department,nsubj
provide,counselling,dobj
provided,Pfaffenback,nsubj
provided,SACCO,dobj
provided,Technologies,dobj
provides,vista,dobj
providing,government,nsubj
providing,details,dobj
providing,credits,dobj
providing,care,dobj
providing,access,dobj
providing,We,nsubj
provides,which,nsubj
provides,unit,nsubj
provides,roof,nsubj
provides,training,dobj
provides,that,nsubj
provides,tests,dobj
provides,system,nsubj
provides,summary,dobj
provides,substrate,dobj
provides,solutions,dobj
providing,healthcare,dobj
providing,increase,dobj
providing,issues,dobj
providing,layer,dobj
published,Japan,nsubj
published,Commission,nsubj
published,China,nsubj
publish,verdict,dobj
publish,critique,dobj
providing,which,nsubj
providing,updates,dobj
providing,transport,dobj
providing,tools,dobj
providing,them,dobj
providing,team,nsubj
providing,support,dobj
providing,services,dobj
providing,one,nsubj
providing,materials,dobj
provides,services,dobj
provides,offering,dobj
provided,UN,dobj
provided,documentation,dobj
provided,most,dobj
provided,lack,nsubj
provided,killing,nsubj
provided,inspiration,dobj
provided,information,dobj
provided,he,nsubj
provided,doses,dobj
provided,details,dobj
provides,it,nsubj
provided,design,nsubj
provided,context,dobj
provided,company,nsubj
provided,case,dobj
provided,book,dobj
provided,bidders,dobj
provided,avenues,dobj
provided,notification,dobj
provided,offer,dobj
provided,take,dobj
provided,that,dobj
provides,investors,dobj
provides,insight,dobj
provides,guidance,dobj
provides,evidence,dobj
provides,energy,dobj
provides,cent,dobj
provides,atlas,nsubj
provides,Thorne,nsubj
provides,Regulation,nsubj
provides,Pod,nsubj
provides,Bureau,nsubj
provides,%,dobj
provided,which,nsubj
provided,they,nsubj
provide,House,nsubj
provide,Establishment,nsubj
ratified,agreement,dobj
promised,cooperation,dobj
promote,Villa,nsubj
promote,Rich,dobj
promote,City,dobj
promises,that,nsubj
promised,parents,dobj
promised,model,dobj
promised,he,nsubj
promised,company,nsubj
promote,anyone,nsubj
promised,It,nsubj
promised,I,nsubj
promised,He,nsubj
promised,Berlusconi,nsubj
promise,we,nsubj
prolong,material,nsubj
prolong,life,dobj
promote,agreement,nsubj
promote,approach,dobj
provide,Cii,nsubj
promotes,environment,nsubj
promoting,health,dobj
promoting,flow,dobj
promoting,event,dobj
promoting,approach,dobj
promoting,access,dobj
promotes,use,dobj
promotes,that,nsubj
promoted,signing,dobj
promote,collaboration,dobj
promoted,He,nsubj
promote,use,dobj
promote,understanding,dobj
promote,rest,dobj
promote,relationships,dobj
promote,interest,dobj
promote,gambling,dobj
proliferated,which,nsubj
projecting,face,dobj
projected,Amazon,nsubj
produced,results,dobj
produces,most,dobj
produces,chips,dobj
produced,tons,dobj
produced,system,nsubj
produced,star,nsubj
produced,seeds,dobj
produced,savings,dobj
produced,requests,dobj
prohibits,companies,dobj
produced,report,dobj
produced,presidents,dobj
produced,poem,dobj
produced,plants,nsubj
produced,it,nsubj
produced,family,nsubj
produced,events,dobj
produces,which,nsubj
producing,everything,dobj
producing,internationals,dobj
profitable,business,nsubj
prohibits,It,nsubj
prohibiting,use,dobj
prohibiting,harassment,dobj
prohibited,resale,dobj
prohibited,Japan,nsubj
prohibit,transactions,dobj
prohibit,practices,dobj
prohibit,apps,dobj
prohibit,They,nsubj
progressing,helmets,nsubj
progressing,he,nsubj
progress,tender,dobj
programmed,module,dobj
programmed,SMITSU,nsubj
profited,that,nsubj
promoting,investments,dobj
promoting,peace,dobj
promoting,trust,dobj
protect,those,dobj
protects,mixture,nsubj
protects,interest,dobj
protects,clause,nsubj
protecting,mountains,dobj
protecting,heritage,dobj
protecting,communities,dobj
protect,wildlife,dobj
protect,system,dobj
protect,creators,dobj
protect,planet,dobj
protect,officials,nsubj
protect,kids,dobj
protect,investors,dobj
protect,health,dobj
protect,government,nsubj
protect,flow,dobj
protects,skin,dobj
protested,elections,dobj
protested,restrictions,dobj
protested,who,nsubj
provide,Chatbots,nsubj
provide,Canada,nsubj
provide,Bank,nsubj
proves,series,nsubj
proved,whom,nsubj
proved,it,nsubj
proved,investigation,nsubj
proved,experiment,nsubj
prove,they,nsubj
prove,that,nsubj
prove,payments,dobj
prove,case,dobj
protesting,leaders,nsubj
protesting,decision,dobj
protested,women,nsubj
protect,data,dobj
protect,consumers,dobj
prompt,Fed,dobj
prompted,need,nsubj
prop,currency,dobj
promulgated,SRSG,nsubj
promulgated,No,nsubj
prompting,Delhi,dobj
prompted,which,nsubj
prompted,team,dobj
prompted,partnership,dobj
prompted,me,dobj
protect,competition,dobj
prompted,illness,nsubj
prompted,her,dobj
prompted,experience,nsubj
prompt,slew,nsubj
prompt,inflation,nsubj
prompt,bank,dobj
prompt,Washington,dobj
propel,aircraft,dobj
propel,that,nsubj
propose,idea,dobj
proposed,reasons,dobj
protect,companies,nsubj
protect,children,dobj
protect,assets,dobj
protect,artwork,dobj
protect,area,dobj
protect,allies,dobj
protect,US,nsubj
protect,States,nsubj
protect,River,dobj
protect,Mohammed,dobj
prosecute,agents,dobj
propositioned,He,nsubj
propositioned,American,dobj
proposes,Bill,nsubj
proposed,researchers,nsubj
published,clip,dobj
published,documents,dobj
published,measures,dobj
racing,Google,nsubj
raise,Bank,nsubj
rained,missiles,nsubj
raided,police,nsubj
raided,offices,dobj
raged,Debate,nsubj
rack,that,nsubj
rack,losses,dobj
raced,Thoughts,nsubj
raise,daughter,dobj
race,companies,nsubj
quoting,prosecutors,dobj
quoting,account,dobj
quoted,spokesman,dobj
quoted,media,nsubj
quoted,Spahn,dobj
quoted,Shuhaily,dobj
raise,bail,dobj
raise,funds,dobj
published,regulations,dobj
raised,"355,000",dobj
raised,They,nsubj
raised,Rugby,nsubj
raised,Plenty,nsubj
raised,Indonesians,nsubj
raised,Haugen,nsubj
raised,Fund,dobj
raised,575,dobj
raised,105million,dobj
raise,million,dobj
raise,trillion,dobj
raise,that,dobj
raise,target,dobj
raise,round,dobj
raise,rates,dobj
raise,number,dobj
raise,money,dobj
quoted,Sabah,dobj
quoted,RIA,nsubj
quoted,News,nsubj
putting,you,nsubj
questioned,it,dobj
questioned,engineer,nsubj
questioned,basis,dobj
question,they,nsubj
question,others,nsubj
qualifying,that,nsubj
qualified,Bleus,nsubj
putting,they,nsubj
quoted,It,nsubj
putting,them,dobj
putting,layers,dobj
putting,forces,dobj
putting,end,dobj
putting,Ukraine,dobj
puts,things,dobj
puts,soldiers,dobj
questioned,lawmakers,nsubj
questioned,officials,nsubj
questioned,support,dobj
questioning,employees,dobj
quoted,Antonov,dobj
quitting,she,nsubj
quitting,industry,dobj
quits,job,dobj
quits,Fried,nsubj
quit,positions,dobj
quit,job,dobj
quit,he,nsubj
quit,She,nsubj
quit,Lachlan,nsubj
quit,Harry,nsubj
questions,need,dobj
questioning,people,nsubj
questioning,nationality,dobj
questioning,motives,dobj
raised,YouTrip,nsubj
raised,alarm,dobj
raised,champions,nsubj
ran,business,dobj
ran,story,dobj
ran,she,nsubj
ran,protesters,nsubj
ran,practice,dobj
ran,investing,dobj
ran,he,nsubj
ran,company,dobj
ran,I,nsubj
ramp,expansion,dobj
ran,He,nsubj
ran,Dream,dobj
ran,Cruises,nsubj
ran,Bitzlato,dobj
ramped,criticism,dobj
ramped,contributor,nsubj
ramp,production,dobj
ran,that,nsubj
ran,they,nsubj
ran,tyre,nsubj
ran,union,nsubj
ratified,Singapore,nsubj
rated,it,dobj
rated,J.P.Morgan,nsubj
ratcheted,tensions,dobj
ratcheted,minister,nsubj
raped,members,dobj
ranks,cancer,nsubj
ranks,bloc,nsubj
ranks,It,nsubj
ranked,Singapore,nsubj
ranging,sets,dobj
ranged,prices,nsubj
range,pensions,nsubj
ran,who,nsubj
ran,we,nsubj
ramp,exports,dobj
ramp,competition,dobj
raised,clashes,nsubj
raised,fund,dobj
raised,objections,dobj
raised,million,dobj
raised,member,nsubj
raised,it,nsubj
raised,issues,dobj
raised,issue,dobj
raised,he,nsubj
raised,forecast,dobj
rammed,way,dobj
raised,firm,nsubj
raised,figures,nsubj
raised,fears,dobj
raised,eyebrows,dobj
raised,critics,nsubj
raised,concerns,dobj
raised,complainant,nsubj
raised,prosecutors,nsubj
raised,questions,dobj
raised,she,nsubj
raised,tribe,nsubj
rammed,protesters,nsubj
rallied,Shares,nsubj
raked,million,dobj
raked,arm,nsubj
raising,who,nsubj
raising,spectre,dobj
raising,prices,dobj
raising,hands,dobj
raising,funds,dobj
raising,charges,dobj
raises,risk,dobj
raises,million,dobj
raises,Putin,nsubj
raises,FTX,nsubj
raised,which,nsubj
puts,proposals,dobj
puts,Italia,nsubj
put,years,dobj
pursue,degree,dobj
pursued,authorities,nsubj
pursue,study,dobj
pursue,projects,dobj
pursue,policies,dobj
pursue,opportunities,dobj
pursue,militants,dobj
pursue,diploma,dobj
pursue,claims,dobj
purchasing,properties,dobj
pursue,acting,dobj
pursue,James,nsubj
purported,ties,dobj
purported,search,nsubj
purchasing,vessels,dobj
purchasing,uniforms,dobj
purchasing,she,nsubj
pursued,celebrities,dobj
pursued,degree,dobj
pursued,he,nsubj
pursued,policies,dobj
push,States,nsubj
push,Ofcom,nsubj
pursuing,who,nsubj
pursuing,war,dobj
pursuing,they,nsubj
pursuing,perfection,dobj
pursuing,killings,dobj
pursuing,degree,dobj
pursuing,careers,dobj
pursuing,career,dobj
pursuing,brands,dobj
pursuing,Johan,nsubj
pursuing,Israel,nsubj
pursues,it,nsubj
pursues,aim,dobj
purchasing,shares,dobj
purchasing,he,nsubj
push,price,dobj
pull,it,nsubj
pulled,plug,dobj
pulled,data,dobj
pulled,car,nsubj
pulled,Office,nsubj
pulled,It,nsubj
pull,soldiers,dobj
pull,shirt,dobj
pull,house,dobj
purchasing,farmhouse,dobj
pull,France,nsubj
publishing,news,dobj
publisher,everyone,nsubj
published,videos,dobj
published,scholar,nsubj
published,rules,dobj
published,regulator,nsubj
pulled,shutters,dobj
pulled,tenants,nsubj
pulling,Khdour,dobj
pulling,body,dobj
purchased,who,nsubj
purchased,them,dobj
purchased,cover,dobj
purchased,brewery,dobj
purchased,Tribe,nsubj
purchase,they,nsubj
purchase,device,dobj
punish,government,dobj
punching,photographer,dobj
punched,her,dobj
punched,He,nsubj
pump,million,dobj
pump,heart,nsubj
pump,blood,dobj
pulls,that,nsubj
push,it,dobj
push,that,nsubj
put,which,nsubj
put,government,nsubj
put,measures,dobj
put,limits,dobj
put,itself,dobj
put,it,nsubj
put,hold,dobj
put,herself,dobj
put,forces,dobj
put,critics,nsubj
put,fact,nsubj
put,energy,dobj
put,end,dobj
put,effort,dobj
put,economy,dobj
put,dispute,dobj
put,detail,nsubj
put,options,dobj
put,post,dobj
put,pressure,dobj
put,profits,dobj
put,ventilator,dobj
put,umbrella,dobj
put,toll,dobj
put,things,dobj
put,they,nsubj
put,them,dobj
put,that,nsubj
put,stop,dobj
put,states,nsubj
put,series,dobj
put,safeguards,dobj
put,roots,dobj
put,request,dobj
put,reports,nsubj
put,curbs,dobj
put,competitors,dobj
push,trade,dobj
pushed,love,nsubj
pushing,Philippines,nsubj
pushing,Both,nsubj
pushes,scrubland,nsubj
pushed,who,nsubj
pushed,that,nsubj
pushed,result,nsubj
pushed,principles,dobj
pushed,him,dobj
put,company,nsubj
pushed,deficits,dobj
pushed,attacks,nsubj
pushed,Nigeria,dobj
pushed,Monteza,nsubj
pushed,Meta,nsubj
pushed,METI,nsubj
pushed,Djokovic,dobj
pushing,Prosecutors,nsubj
pushing,company,dobj
pushing,they,nsubj
pushing,this,dobj
put,companies,nsubj
put,Taiwan,dobj
put,Singapore,nsubj
put,North,nsubj
put,Italy,dobj
put,Italiano,nsubj
put,It,nsubj
put,I,nsubj
put,COVID-19,nsubj
put,Brussels,nsubj
put,Beijing,nsubj
put,Authority,nsubj
put,Aito,dobj
pushing,which,nsubj
pushing,victim,dobj
remained,relations,nsubj
remained,who,nsubj
said,Seoul,nsubj
said,Association,nsubj
said,Azerbaijan,nsubj
said,Azad,nsubj
said,Ayers,nsubj
said,Automobiles,nsubj
said,Authority,nsubj
said,Authorities,nsubj
said,Atletico,nsubj
said,Asra,nsubj
said,Babayan,nsubj
said,Aronson,nsubj
said,Aquilina,nsubj
said,Apple,nsubj
said,Anwar,nsubj
